data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-05-05 21:00:00,1.0,0.0,1000.2,69.0,212.04,28.3,72.0
2005-05-06 00:00:00,1.0,0.0,1002.8,339.0,0.0,25.8,84.8
2005-05-06 03:00:00,1.0,0.0,1002.1,318.0,0.0,25.6,86.4
2005-05-06 06:00:00,0.0,0.0,1001.0,135.0,0.0,24.9,84.8
2005-05-06 09:00:00,1.0,0.0,1001.9,126.0,0.93,24.3,86.4
2005-05-06 12:00:00,3.0,0.0,1003.5,159.0,145.37,26.7,73.6
2005-05-06 15:00:00,3.0,0.0,1001.2,147.0,472.22,30.2,52.8
2005-05-06 18:00:00,3.0,0.0,998.6,144.0,553.7,32.2,44.8
2005-05-06 21:00:00,2.0,0.0,999.8,192.0,179.63,28.2,70.4
2005-05-07 00:00:00,1.0,0.0,1002.0,162.0,0.0,26.4,78.4
2005-05-07 03:00:00,1.0,0.0,1001.4,114.0,0.0,25.5,86.4
2005-05-07 06:00:00,1.0,0.2,1000.7,147.0,0.0,24.2,89.6
2005-05-07 09:00:00,1.0,9.4,1000.9,120.0,0.93,23.6,94.4
2005-05-07 12:00:00,3.0,0.0,1002.2,150.0,360.19,28.4,65.6
2005-05-07 15:00:00,5.0,0.0,1000.6,132.0,737.96,31.9,51.2
2005-05-07 18:00:00,3.0,0.0,998.3,120.0,461.11,32.0,51.2
2005-05-07 21:00:00,2.0,0.0,999.5,144.0,155.56,29.1,64.0
2005-05-08 00:00:00,2.0,0.0,1001.9,39.0,0.0,25.8,83.2
2005-05-08 03:00:00,1.0,1.6,1001.6,183.0,0.0,25.0,92.8
2005-05-08 06:00:00,1.0,0.0,1000.3,129.0,0.0,23.5,89.6
2005-05-08 09:00:00,0.0,0.0,1001.2,153.0,0.93,22.6,92.8
2005-05-08 12:00:00,3.0,0.0,1001.6,132.0,307.41,27.4,64.0
2005-05-08 15:00:00,3.0,0.0,1000.1,111.0,457.41,29.7,57.6
2005-05-08 18:00:00,3.0,0.0,998.0,129.0,679.63,32.4,48.0
2005-05-08 21:00:00,3.0,0.0,999.7,117.0,149.07,27.4,72.0
2005-05-09 00:00:00,1.0,0.0,1002.0,60.0,0.0,25.8,86.4
2005-05-09 03:00:00,2.0,0.6,1002.2,63.0,0.0,24.7,91.2
2005-05-09 06:00:00,0.0,0.0,1001.0,102.0,0.0,23.6,91.2
2005-05-09 09:00:00,1.0,0.2,1001.5,165.0,0.93,22.3,94.4
2005-05-09 12:00:00,3.0,0.0,1002.2,159.0,362.04,28.5,62.4
2005-05-09 15:00:00,3.0,0.0,1000.9,132.0,750.0,31.2,49.6
2005-05-09 18:00:00,2.0,0.0,1000.4,72.0,109.26,27.5,68.8
2005-05-09 21:00:00,2.0,0.0,1000.4,72.0,109.26,27.5,68.8
2005-05-10 00:00:00,1.0,0.0,1001.9,36.0,0.0,25.3,81.6
2005-05-10 03:00:00,1.0,0.0,1001.5,357.0,0.0,23.7,91.2
2005-05-10 06:00:00,1.0,0.0,1000.2,168.0,0.0,22.7,92.8
2005-05-10 09:00:00,1.0,0.0,1001.2,165.0,1.85,22.6,92.8
2005-05-10 12:00:00,3.0,0.0,1001.8,150.0,364.81,29.8,59.2
2005-05-10 15:00:00,4.0,0.0,999.9,132.0,717.59,32.3,48.0
2005-05-10 18:00:00,2.0,0.0,997.4,102.0,444.44,32.9,46.4
2005-05-10 21:00:00,2.0,0.0,998.8,126.0,196.3,28.6,68.8
2005-05-11 00:00:00,1.0,0.0,1001.1,3.0,0.0,25.1,83.2
